Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Оробець,Златослава,Сергіївна,Жіноча,1973-09-27,Акушер,селище Тлумач,"провулок Ромашкова, буд. 01 кв. 14, Молодогвардійськ, 48505",060 230 61 05,fareniukpanas@example.net
Бевз,Тимофій,Вікторович,Чоловіча,1942-04-07,Продюсер,селище Перемишляни,"вулиця Угорська, буд. 1, Охтирка, 50253",+380 97 313-49-79,gzaiets@example.com
Ґалаґан,Георгій,Сергійович,Чоловіча,1947-09-06,Фотограф,хутір Самбір,"провулок Тракторна, буд. 59, Федорівка, 05175",075 334 46 78,kzabara@example.org
Венгринович,Альбіна,Іванівна,Жіноча,1999-10-30,Біолог,хутір Баштанка,"площа Ризька, буд. 96 кв. 176, Козятин, 15535",088 788 33 77,snizhanasvyrydenko@example.net
Бабак,Гліб,Петрович,Чоловіча,1948-04-24,Нотаріус,хутір Миронівка,"набережна Чорноморський 10-й, буд. 064 кв. 9, Лисичанськ, 61015",+380 (52) 096-60-62,romanchukiustyna@example.org
Ковпак,Євген,Олександрович,Чоловіча,1940-01-22,Антрополог,селище Судак ,"набережна Польська, буд. 27, Путивль, 31317",+380 53 377 66 14,mykhailynareva@example.net
Ляшко,Євген,Григорович,Чоловіча,2004-08-28,Патологоанатом,хутір Теребовля,"сквер Крилова, буд. 404, Чернівці, 68947",+380 (78) 415-66-90,valeriihuzenko@example.org
Верховинець,Одарка,Григорівна,Жіноча,1938-12-28,М'ясник,селище Городок,"провулок Ключовий 2-й, буд. 493, Верхньодніпровськ, 47721",418-55-26,dlysenko@example.com
Дрозденко,Орися,Сергіївна,Жіноча,1975-03-04,Пілот,місто Вільногірськ,"сквер Строганов міст, буд. 61 кв. 782, Южне, 04498",+380 35 075 17 07,slaba@example.com
Луценко,Франц,Олександрович,Чоловіча,1965-02-04,Футболіст,село Жашків,"провулок Богдана Хмельницького, буд. 671 кв. 10, Надвірна, 65408",433-02-99,liliiaoberemko@example.org
Іваничук,Ярослав,Володимирович,Чоловіча,2000-06-29,Доцент,місто Тячів,"сквер Шкіперська, буд. 4 кв. 6, Ізяслав, 22098",069 826 29 55,zvashchenko@example.com
Чумак,Феофан,Ярославович,Чоловіча,1941-07-13,Палеонтолог,місто Торецьк,"сквер Лінія 39-та, буд. 8, Тернопіль, 73559",928-19-32,arsenkorbut@example.org
Чубай,Оксенія,Леонідівна,Жіноча,1952-12-13,Музикант,місто Новоукраїнка,"сквер Партизанська, буд. 473, Славутич, 61032",+380 48 997-15-92,qkharchenko@example.org
Калениченко,Віктор,Юрійович,Чоловіча,1975-11-12,Кушнір,селище Одеса,"узвіз Миколи Гумільова, буд. 624 кв. 597, Носівка, 38909",+380 13 778-70-86,okseniia13@example.org
Лукаш,Венедикт,Леонідович,Чоловіча,1998-10-20,Євнух,село Апостолове,"шосе Тінистий, буд. 883, Синельникове, 08226",034 047-80-89,herman51@example.net
Самойленко,Єлисавета,Романівна,Жіноча,1956-09-22,Кур'єр,місто Білогірськ,"сквер Дюківський сад, буд. 846, Ківерці, 60852",+380 14 957-20-28,arkadiidzyndra@example.org
Єфименко,Борислав,Богданович,Чоловіча,1992-09-12,Няня,місто Євпаторія,"узвіз Зоряна, буд. 135 кв. 533, Буча, 02685",721 21 25,alevtynzinchuk@example.com
Петренко,Ліза,Вікторівна,Жіноча,1949-01-11,М'ясник,хутір Трускавець,"вулиця Пироговський, буд. 8, Антрацит , 86453",+380 94 250-55-52,roksolana32@example.org
Лавренко,Ліза,Євгенівна,Жіноча,2003-03-10,Різноробочий,хутір Нововолинськ,"набережна Бородінська, буд. 2, Білгород-Дністровський, 19355",+380 68 005-39-57,vkybkalo@example.org
Рябошапка,Адам,Федорович,Чоловіча,2000-11-09,Актор,місто Сквира,"набережна Єлісаветинська, буд. 7, Буськ, 76491",+380 90 831-97-78,violetta88@example.com
Черінько,Ігор,Васильович,Чоловіча,2000-07-18,Мірошник,місто Кодима,"узвіз Гетьманський, буд. 2 кв. 448, Коростень, 18748",+380 31 781-51-35,kgalagan@example.com
Михалюк,Онисим,Григорович,Чоловіча,1963-11-20,Геолог,село Дубровиця,"узвіз Кибальчича, буд. 621, Олександрівськ, 56023",+380 96 527-45-41,drozdenkoartem@example.org
Дубина,Петро,Андрійович,Чоловіча,1995-06-30,Художник,хутір Святогірськ,"шосе Красний, буд. 932 кв. 12, Благовіщенське, 37908",+380 24 541-56-30,joberemko@example.com
Дараган,Борислав,Віталійович,Чоловіча,1992-07-29,Сценарист,хутір Перевальськ,"набережна Шкіперська, буд. 57 кв. 21, Павлоград, 90936",+380 (93) 679-36-58,esmyk@example.org
Шовкопляс,Єва,Богданівна,Жіноча,1943-07-18,Клавішник,селище Татарбунари,"узвіз Сільська, буд. 638, Фастів, 11570",+380 80 845-81-36,frankonazar@example.org
Радченко,Мартин,Романович,Чоловіча,1996-11-26,Літературознавець,селище Миронівка,"провулок Проектний 5-й, буд. 5, Монастирище, 41178",018 225-52-19,rderehus@example.com
Карпенко,Соломон,Юрійович,Чоловіча,2007-09-25,Будник,хутір Берислав,"вулиця Чехова, буд. 95, Міусинськ, 89212",054-78-45,illiasimashkevych@example.com
Лемешко,Пріска,Ярославівна,Жіноча,2005-01-28,Намотувальник,селище Бердичів,"проспект Косовський, буд. 706, Василівка , 99564",000 486 87 01,kartiushenko@example.net
Гавришкевич,Симон,Миколайович,Чоловіча,1958-10-07,Перекладач,селище Кілія,"шосе Різдвяна, буд. 3 кв. 84, Шаргород, 68884",043 005 90 18,artem48@example.org
Шведченко,Едита,Євгенівна,Жіноча,1992-02-21,Різноробочий,місто Умань,"парк Азербайджан, буд. 5, Українка , 05220",+380 53 889-96-23,fabramenko@example.net
Лагода,Марта,Федорівна,Жіноча,1977-10-25,Ювелір,село Гадяч,"вулиця Жуковського, буд. 61, Макіївка, 23993",062 893 98 10,ksahal@example.net
Лагода,Єлисей,Богданович,Чоловіча,1981-08-03,Стропальник,село Дрогобич,"сквер Градоначальницька, буд. 2, Яворів, 65985",052 715-35-38,iustyna30@example.com
Власенко,Христина,Василівна,Жіноча,1982-11-05,Електрослюсар,селище Старокостянтинів,"узвіз Шкодова гора, буд. 136, Подільськ, 25985",+380 19 410 22 65,zperebyinis@example.org
Шамрай,Світлана,Дмитрівна,Жіноча,1950-11-24,Паралегал,село Рожище,"шосе Крижанівський, буд. 2, Підгайці, 30388",036-69-69,maksym25@example.org
Романчук,Вʼячеслав,Андрійович,Чоловіча,2005-01-12,Програміст,селище Гадяч,"шосе Миколаївський 1-й, буд. 76, Рогатин, 26571",061 139-37-32,bohdan29@example.com
Гайденко,Світлана,Євгенівна,Жіноча,2005-10-12,Композитор,селище Зміїв,"парк Сонячна, буд. 77, Алчевськ, 90145",+380 06 814 18 41,albert46@example.net
Яковенко,Алевтин,Григорович,Чоловіча,1953-02-03,Композитор,селище Остер ,"площа Чорноморський 7-й, буд. 64, Біла Церква, 17983",615-59-63,demyd03@example.org
Швачко,Віолетта,Романівна,Жіноча,1942-08-22,Слідчий,місто Хоростків,"площа Лузанівський 1-й, буд. 719, Полонне, 53741",+380 (11) 863-42-51,dannavertyporokh@example.org
Рудик,Тереза,Володимирівна,Жіноча,2003-05-30,Публіцист,селище Теплодар,"провулок Тепла, буд. 912 кв. 961, Сміла, 07492",896-59-44,mykolaiusyk@example.com
Гаврюшенко,Герман,Леонідович,Чоловіча,1984-05-14,Ботанік,село Валки ,"провулок Лінійний, буд. 38 кв. 11, Снятин, 62699",+380 94 296-76-67,iarynapelekh@example.com
Ященко,Давид,Сергійович,Чоловіча,2007-01-28,Редактор,місто Копичинці,"вулиця Вапняний 1-й, буд. 7 кв. 494, Перещепине, 06989",686 17 76,hennadiimoskal@example.net
